iter	Passed	Remaining
780	28588	8016
781	28600	7973
782	28626	7933
783	28657	7895
784	28691	7858
785	28713	7817
786	28748	7780
787	28780	7742
788	28811	7704
789	28843	7667
790	28875	7629
791	28908	7592
792	28939	7554
793	28978	7518
794	29024	7484
795	29080	7452
796	29142	7422
797	29191	7389
798	29210	7348
799	29254	7313
800	29296	7278
801	29340	7243
802	29387	7209
803	29436	7176
804	29484	7142
805	29517	7104
806	29549	7066
807	29568	7026
808	29637	6997
809	29685	6963
810	29733	6929
811	29761	6890
812	29775	6848
813	29816	6813
814	29860	6778
815	29899	6742
816	29941	6706
817	29955	6664
818	29996	6629
819	30050	6596
820	30097	6562
821	30155	6530
822	30198	6494
823	30242	6459
824	30284	6423
825	30317	6386
826	30348	6348
827	30392	6313
828	30434	6277
829	30475	6242
830	30518	6206
831	30561	6171
832	30581	6130
833	30624	6095
834	30726	6071
835	30768	6035
836	30812	6000
837	30849	5963
838	30879	5925
839	30910	5887
840	30942	5849
841	30988	5814
842	31006	5774
843	31044	5738
844	31084	5701
845	31123	5665
846	31165	5629
847	31206	5593
848	31249	5557
849	31315	5526
850	31334	5486
851	31381	5451
852	31419	5414
853	31460	5378
854	31496	5341
855	31528	5303
856	31558	5265
857	31591	5228
858	31631	5192
859	31660	5154
860	31700	5117
861	31815	5093
862	31860	5057
863	31902	5021
864	31930	4983
865	31973	4947
866	32024	4912
867	32069	4876
868	32109	4840
869	32138	4802
870	32176	4765
871	32219	4729
872	32250	4691
873	32287	4654
874	32320	4617
875	32351	4579
876	32384	4541
877	32424	4505
878	32457	4468
879	32485	4429
880	32517	4392
881	32555	4355
882	32587	4317
883	32620	4280
884	32652	4242
885	32685	4205
886	32712	4167
887	32750	4130
888	32779	4092
889	32812	4055
890	32894	4024
891	32930	3987
892	32963	3949
893	32994	3912
894	33026	3874
895	33058	3837
896	33090	3799
897	33122	3762
898	33168	3726
899	33202	3689
900	33235	3651
901	33267	3614
902	33300	3577
903	33339	3540
904	33375	3503
905	33407	3466
906	33438	3428
907	33474	3391
908	33487	3352
909	33524	3315
910	33563	3278
911	33591	3241
912	33622	3203
913	33642	3165
914	33672	3128
915	33747	3094
916	33799	3059
917	33845	3023
918	33890	2987
919	33986	2955
920	34075	2922
921	34093	2884
922	34125	2846
923	34162	2809
924	34196	2772
925	34226	2735
926	34271	2698
927	34310	2662
928	34349	2625
929	34381	2587
930	34414	2550
931	34443	2513
932	34480	2476
933	34517	2439
934	34553	2402
935	34590	2365
936	34634	2328
937	34672	2291
938	34717	2255
939	34761	2218
940	34793	2181
941	34825	2144
942	34855	2106
943	34891	2069
944	34928	2032
945	34969	1996
946	35051	1961
947	35086	1924
948	35123	1887
949	35159	1850
950	35191	1813
951	35225	1776
952	35260	1738
953	35293	1701
954	35341	1665
955	35375	1628
956	35408	1590
957	35437	1553
958	35466	1516
959	35499	1479
960	35536	1442
961	35567	1404
962	35599	1367
963	35609	1329
964	35641	1292
965	35679	1255
966	35732	1219
967	35762	1182
968	35795	1145
969	35830	1108
970	35867	1071
971	35901	1034
972	35941	997
973	35970	960
974	36002	923
975	36031	886
976	36049	848
977	36156	813
978	36191	776
979	36222	739
980	36252	702
981	36282	665
982	36322	628
983	36358	591
984	36390	554
985	36419	517
986	36448	480
987	36479	443
988	36519	406
989	36553	369
990	36581	332
991	36611	295
992	36645	258
993	36679	221
994	36721	184
995	36788	147
996	36824	110
997	36858	73
998	36896	36
999	36931	0
