iter	Passed	Remaining
673	491099	237534
674	491588	236690
675	492660	236127
676	493182	235299
677	494015	234621
678	495283	234147
679	495862	233346
680	496876	232751
681	497455	231951
682	498757	231487
683	499335	230687
684	500246	230040
685	501464	229533
686	502162	228787
687	503197	228194
688	503767	227389
689	504571	226691
690	505140	225887
691	506053	225237
692	506716	224475
693	507533	223782
694	508446	223131
695	509035	222337
696	509878	221654
697	510431	220845
698	511444	220235
699	512186	219508
700	512983	218804
701	513531	217995
702	514562	217389
703	515108	216579
704	516041	215932
705	516688	215164
706	517609	214511
707	518526	213855
708	519033	213030
709	519890	212349
710	520481	211559
711	521344	210881
712	521838	210052
713	522893	209450
714	523463	208653
715	524327	207973
716	524918	207185
717	525978	206582
718	526483	205760
719	527244	205039
720	527782	204231
721	528913	203653
722	529720	202949
723	530739	202326
724	531876	201746
725	532370	200922
726	532832	200086
727	533529	199340
728	534025	198519
729	534763	197789
730	535236	196961
731	536142	196292
732	536746	195513
733	537692	194858
734	538386	194112
735	539292	193441
736	540366	192830
737	540955	192046
738	541991	191420
739	542496	190607
740	543304	189900
741	543796	189082
742	544730	188419
743	545371	187654
744	546364	187010
745	546942	186224
746	548023	185608
747	548609	184825
748	549578	184171
749	550255	183418
750	551372	182811
751	552498	182206
752	553315	181499
753	554402	180879
754	555589	180290
755	556176	179506
756	557215	178868
757	557741	178065
758	558858	177450
759	559558	176702
760	560731	176103
761	562112	175567
762	562868	174835
763	564144	174264
764	565489	173712
765	566152	172950
766	567336	172345
767	567998	171583
768	569236	170993
769	569929	170238
770	570757	169524
771	572025	168940
772	572769	168199
773	573885	167568
774	575164	166983
775	576181	166320
776	576861	165560
777	577796	164872
778	578497	164118
779	579838	163544
780	581181	162968
781	581701	162162
782	582714	161493
783	583343	160717
784	584707	160142
785	585481	159405
786	586484	158730
787	587707	158114
788	588458	157369
789	589551	156716
790	590660	156065
791	591301	155291
792	592565	154679
793	593389	153952
794	594207	153223
795	595653	152654
796	596455	151920
797	597638	151281
798	599132	150720
799	599691	149922
800	600703	149238
801	601311	148453
802	602641	147846
803	603427	147104
804	604303	146384
805	605599	145764
806	606305	145002
807	607493	144354
808	608821	143739
809	609442	142955
810	610704	142321
811	611862	141662
812	612510	140884
813	614043	140309
814	614720	139537
815	615794	138855
816	616363	138059
817	617589	137409
818	619003	136800
819	619568	136002
820	620522	135290
821	621119	134500
822	621982	133767
823	622708	133005
824	623786	132318
825	624414	131535
826	625682	130886
827	627248	130297
828	627770	129491
